station_name,latitude,longitude,total_bikes,institution name,category,distance,bank_count,bar_count,restaurant_count,total_institutions
Davenport Rd / Bedford Rd,43.674446,-79.398331,14,MIMI ChineseMIMI ChineseParcKX Coffee & Wine Bar,restaurantbarbarbar,94.0,0.0,3.0,1.0,4.0
Queen St W / Bay St (City Hall),43.6517925,-79.38269509999999,23,Shops at Sheraton Food CourtBlue Hot Dog TruckKibo Sushi HouseTeppanyaki GrillDruxy's Famous Deli SandwichesSweet Rosie'sPatties ExpressFreshiiHibberd Catherine Barrister & SolicitorBlitz Facial Bar IncKenneth Cohen Barristers & SolicitorsCanadianforex LtdWoodbridge Co Ltd,restaurantrestaurantrestaurantrestaurantrestaurantrestaurantrestaurantrestaurantbarbarbarbankbank,482.0,2.0,3.0,8.0,13.0
University Ave / College St (East),43.65995,-79.38964,19,StarbucksQueen's Park Subway Station,barbar,84.0,0.0,2.0,0.0,2.0
York University (Glendon Campus) - SMART,43.727365488246306,-79.3814254607724,15,,,,,,,
Simcoe St / Elm St,43.656038841714505,-79.38970387738495,10,ScotiabankLocalcoin Bitcoin ATM - Hasty Market,bankbank,81.0,2.0,0.0,0.0,2.0
Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,34,,,,,,,
Bayview Ave / Finch Recreational Trail,43.789068698639504,-79.39315096004944,19,,,,,,,
Keele St / Lloyd Ave,43.67115532642577,-79.46701597756929,14,Country Style,bar,34.0,0.0,1.0,0.0,1.0
Viewmount Park,43.70735572654095,-79.43723072209013,15,,,,,,,
Housey St / Dan Leckie Way,43.63811,-79.397877,26,,,,,,,
Ontario St / Adelaide St E -SMART,43.6535052,-79.3667689,17,Per Se CateringJ D BarnesMckenna Sean Rzcd Law Barrs & Solctrs,restaurantbarbar,84.0,0.0,2.0,1.0,3.0
Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,20,,,,,,,
Slan Ave / Scarborough Golf Club Rd,43.77327261711258,-79.21971485277862,13,,,,,,,
