station_name,latitude,longitude,total_bikes
Galbraith Rd / King's College Rd,43.6603874468082,-79.39537831814152,16
Christie St / Benson Ave (Wychwood Barns),43.68,-79.42500000000001,19
Portland St / Wellington St W,43.64290167152932,-79.39937033134326,15
697 Lansdowne Ave ,43.659221843735615,-79.44277410244676,14
University Ave / Pearl St ,43.64836809385241,-79.3853510232788,18
Annette St / Dundas St W,43.6641174,-79.4588522,15
Parkcrest Dr / Kingston Rd,43.73596719224253,-79.21995221481933,15
Macpherson Ave / Spadina Rd,43.675791,-79.40698,13
Lawrence Ave E / Don Mills Trail,43.73458185912293,-79.35485399272919,17
Albion Rd/ Arcot Blvd,43.727621709316395,-79.55254902939286,15
Richmond St E / Yonge St,43.651838,-79.378743,15
Birchcliff Ave / Kingston Rd,43.691688,-79.265027,14
Randolph Ave / Perth Ave,43.6585504,-79.4497659,19
Bathurst St / Fort York Blvd,43.639179,-79.399595,19
Jane St / Bloor St W (Jane Subway Station),43.64976,-79.48477,14
Dundas St E / Boulton Ave - SMART,43.663148,-79.347938,13
Amos Waites Park,43.613606,-79.4883535,25
King St E / River St,43.656784782853144,-79.35627385059036,13
Lansdowne Subway Station,43.65922918158098,-79.44320901022282,23
Twelfth St / Thirteenth St,43.6002896,-79.5108692,23
